Date, Open, High, Low, Close, Volume
11/12/15, 731.00, 737.80, 728.645, 731.23, 1837154
11/11/15, 732.46, 741.00, 730.23, 735.40, 1366995
11/10/15, 724.40, 730.59, 718.5001, 728.32, 1607994
11/09/15, 730.20, 734.71, 719.43, 724.89, 2069807
11/06/15, 731.50, 735.41, 727.01, 733.76, 1511599
11/05/15, 729.47, 739.48, 729.47, 731.25, 1861550
11/04/15, 722.00, 733.10, 721.90, 728.11, 1706700
11/03/15, 718.86, 724.65, 714.72, 722.16, 1565379
11/02/15, 711.06, 721.62, 705.85, 721.11, 1886250
10/30/15, 715.73, 718.00, 710.05, 710.81, 1908774
10/29/15, 710.50, 718.26, 710.01, 716.92, 1455965
10/28/15, 707.33, 712.98, 703.08, 712.95, 2178917
10/27/15, 707.38, 713.62, 704.55, 708.49, 2245796
10/26/15, 701.55, 719.15, 701.26, 712.78, 2716615
10/23/15, 727.50, 730.00, 701.50, 702.00, 6653923
10/22/15, 646.70, 657.80, 644.01, 651.79, 4070954
10/21/15, 654.15, 655.87, 641.73, 642.61, 1794172
10/20/15, 664.04, 664.7197, 644.195, 650.28, 2498215
10/19/15, 661.18, 666.82, 659.58, 666.10, 1477340
10/16/15, 664.11, 664.97, 657.20, 662.20, 1611128
10/15/15, 654.66, 663.13, 654.46, 661.74, 1885737
10/14/15, 653.21, 659.39, 648.85, 651.16, 1415468
10/13/15, 643.15, 657.8125, 643.15, 652.30, 1807685
10/12/15, 642.09, 648.50, 639.01, 646.67, 1276134
10/09/15, 640.00, 645.99, 635.318, 643.61, 1648736
10/08/15, 641.36, 644.45, 625.56, 639.16, 2182081
10/07/15, 649.24, 650.609, 632.15, 642.36, 2092714
10/06/15, 638.84, 649.25, 636.5295, 645.44, 2236847
10/05/15, 632.00, 643.01, 627.00, 641.47, 1803643
10/02/15, 607.20, 627.34, 603.13, 626.91, 2684805
10/01/15, 608.37, 612.09, 599.85, 611.29, 1867601
09/30/15, 603.28, 608.76, 600.73, 608.42, 2413441
09/29/15, 597.28, 605.00, 590.22, 594.97, 2310284
09/28/15, 610.34, 614.605, 589.38, 594.89, 3127667
